checklist,common_name,best_confidence,count
sd_18_2022_06_17,Black Phoebe,0.9943,265
sd_18_2022_06_17,Anna's Hummingbird,0.9928,150
sd_18_2022_06_17,Black-necked Stilt,0.9922,278
sd_18_2022_06_17,American Crow,0.9882,1557
sd_18_2022_06_17,Lesser Goldfinch,0.9878,345
sd_18_2022_06_17,White-breasted Nuthatch,0.9861,81
sd_18_2022_06_17,Northern Rough-winged Swallow,0.9795,247
sd_18_2022_06_17,Greater Yellowlegs,0.9791,122
sd_18_2022_06_17,Orange-crowned Warbler,0.978,168
sd_18_2022_06_17,Bewick's Wren,0.9776,376
sd_18_2022_06_17,Song Sparrow,0.976,395
sd_18_2022_06_17,Mallard,0.971,93
sd_18_2022_06_17,Osprey,0.9704,168
sd_18_2022_06_17,Purple Finch,0.9684,167
sd_18_2022_06_17,Black-crowned Night-Heron,0.9614,146
sd_18_2022_06_17,White-crowned Sparrow,0.9555,2187
sd_18_2022_06_17,Allen's Hummingbird,0.9541,123
sd_18_2022_06_17,House Sparrow,0.9469,3597
sd_18_2022_06_17,Red-tailed Hawk,0.945,97
sd_18_2022_06_17,Double-crested Cormorant,0.9416,133
sd_18_2022_06_17,Northern Mockingbird,0.9406,448
sd_18_2022_06_17,Spotted Sandpiper,0.9258,229
sd_18_2022_06_17,Lazuli Bunting,0.9211,220
sd_18_2022_06_17,California Quail,0.9121,204
sd_18_2022_06_17,Semipalmated Plover,0.9058,88
sd_18_2022_06_17,Tree Swallow,0.8425,330
sd_18_2022_06_17,Bell's Sparrow,0.8291,96
sd_18_2022_06_17,Rock Wren,0.8002,1007
