Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
2792,California Towhee,CALT,Melozone crissalis,"Goleta, Atascadero Ck mitigation area",15 May 2010,"Compton, D.",Carrying Food,,,adult carrying food,"With Holmgren, M.",34.4248301,-119.8074426,20,7,,observer,-13336903.503476351,4085989.979332732
2793,California Towhee,CALT,Melozone crissalis,"Ellwood, Devereux Creek nr Coronado",15 May 2010,"Holmgren, M.",Carrying Nesting Material,,,adult carrying nesting material,"With Compton, D.",34.4234451,-119.8896777,20,8,,observer,-13346057.872933686,4085803.069295323
2905,California Towhee,CALT,Melozone crissalis,"Ellwood Mesa, West",27 Jun 2010,"Compton, D.",Feeding Fledgling,,,adult feeding fledgling,,34.4277518,-119.8977564,40,19,,observer,-13346957.189703956,4086384.2819485134
2929,California Towhee,CALT,Melozone crissalis,"Goleta, nr S Patterson x Ekwill",5 Jul 2010,"Compton, D.",Carrying Food,,,adult carrying food; begging fledgling heard,,34.431533,-119.8134872,20,10,,observer,-13337576.3852704,4086894.600197858
2937,California Towhee,CALT,Melozone crissalis,"Goleta, Tucker's Grove County Park",25 Jul 2010,"Compton, D.",Fledgling under Parental Care,,,fledgling under parental care,,34.45305,-119.785,50,65,,observer,-13334405.204672275,4089799.016813187
3063,California Towhee,CALT,Melozone crissalis,"Gaviota Coast, Naples",24 Jun 2011,"Compton, D.",Feeding Fledgling,,,adult feeding fledgling,,34.4398674,-119.9567958,15,29,,observer,-13353529.425648697,4088019.5088819684
3099,California Towhee,CALT,Melozone crissalis,"Santa Barbara, Cieneguitas nr Foothill",16 Jul 2011,"Compton, D.",Feeding Fledgling,,,,,34.4500537,-119.7583072,15,64,,observer,-13331433.775768427,4089394.5241690166
3112,California Towhee,CALT,Melozone crissalis,"Goleta, Atascadero Ck",5 Sep 2011,"Compton, D.",Feeding Fledgling,,,ad feeding fledgling, nr Turnpike,34.4296386,-119.7915352,50,11,,observer,-13335132.699808504,4086638.9253319744
3131,California Towhee,CALT,Melozone crissalis,"Santa Ynez Mtns, West Camino Cielo",2 Jun 2012,"Holmgren, M.",Carrying Food,,,adult carrying large wad of food,,34.50939,-119.8778,15,754,,observer,-13344735.65341789,4097407.473498789
3148,California Towhee,CALT,Melozone crissalis,"Santa Ynez Mtns, 5625 West Camino Cielo",6 Aug 2012,"Holmgren, M.",Fledgling under Parental Care,,,fledgling calling and accompanying ad,(address is actually on Camino Romoldo),34.49869,-119.81168,20,581,,observer,-13337375.208686639,4095962.092560839
3152,California Towhee,CALT,Melozone crissalis,"Goleta, COPR, Dune Pond",24 Apr 2013,"Holmgren, M.",Egg in Nest,Coyotebrush,0.83,adult flushed from nest with 2 eggs in it then alarm notes thereafter.,N side of dune pond,34.41456,-119.88144,5,5,,S13873577,-13345140.856364377,4084604.0711833434
3212,California Towhee,CALT,Melozone crissalis,"Carpinteria, El Portal St",7 Aug 2013,"Ballard, L.",Feeding Fledgling,,,"Two adults being followed around by 2 adult-sized, begging young for the past four days. The young may not have left their nest until August 30.",,34.40163,-119.50965,,15,,"e-mail from Ballard, L. dated 3 Sept 2013",-13303753.382882345,4082859.462355935
3332,California Towhee,CALT,Melozone crissalis,"Goleta, Patterson Open Space",26 May 1997,"Holmgren, M.",Carrying Food,,,ad carrying food to ticking young; could not find nest,"Maria Ygnacio Creek, between University Drive and E fork of creek",34.44597,-119.80242,50,26,,MY Creek 26 May 1997.pdf,-13336344.390201895,4088843.2587409145
3412,California Towhee,CALT,Melozone crissalis,"Goleta, COPR, Devereux Slough",18 Apr 1995,"Holmgren, M.",Egg in Nest,fig,0.83,"3 eggs, adults present","N Finger, S facing side of shrub, 14' from N Finger Road.",34.41393,-119.87311,30,2,,Devereux 17 April 1995.pdf,-13344213.56500607,4084519.060791009
3443,California Towhee,CALT,Melozone crissalis,"Goleta, Glen Annie Creek, S of Cathedral Oaks",17 Apr 2016,"Holmgren, M.",Carrying Nesting Material,,,both adult carrying nest material,,34.44018,-119.875,25,25,,S29006478,-13344423.958843669,4088061.703238993
3455,California Towhee,CALT,Melozone crissalis,"Goleta, COPR, Slough Rd",18 Apr 1994,"Holmgren, M.",Nest in Use (clarify),non-native shrub,1.7,Bird jumped off nest and hung around close and called. On 21 April 1994: 3 eggs; 22 April: 2 hatched,50 m S of Slough Rd on W side of road to Day Care Center.,34.41655,-119.87123,40,12,,1994_04_18_COP_MSE.pdf,-13344004.284363378,4084872.6002796264
3529,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB Campus Lagoon",29 Apr 2004,"Holmgren, M.",Fledgling under Parental Care,,,"Fledgling under parental care in Rhus, 2/3 tail, flying, on 'Island'",,34.40878,-119.84955,75,11,,Campus Lagoon 29 Apr 04.doc,-13341590.877802981,4083824.158579264
3629,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB, in demonstration garden",9 Jul 2008,"Holmgren, M.",Fledgling with Presumed Parent,,,fledgling being fed by adult,,34.42058,-119.85914,25,6,,UCSB Greenhouse ESCW San Clemente 9 July 2008.pdf,-13342658.431719689,4085416.425008669
3637,California Towhee,CALT,Melozone crissalis,"Santa Barbara, SW of State X Las Positos",6 Jun 2016,"Holmgren, M.",Copulation,,,3 successive copulation efforts with cloacal contact,with Lisa Stratton,34.43865,-119.73511,15,71,,Observer,-13328851.475276599,4087855.187257082
3650,California Towhee,CALT,Melozone crissalis,"Goleta Slough, Area K",12 Jul 2005,"Holmgren, M.",Feeding Fledgling,,,deliver food to fledgling on bluff top,with Andy Webster,34.42138,-119.85131,50,6,,Area K 12 July 2005.pdf,-13341786.800106775,4085524.3834078233
3799,California Towhee,CALT,Melozone crissalis,"Goleta, Los Verdes Dr",2 May 1984,"Rothstein, S.","Ad. ? collected/museum specimen (distended oviduct, egg in duct)",,,Egg in oviduct: ~12mm; Next largest: ~9mm,,34.44575,-119.78744,25,32,,UCSB 18548,-13334676.82422981,4088813.561341513
3840,California Towhee,CALT,Melozone crissalis,"Goleta, More Mesa, Central",30 Jul 2016,"Holmgren, M.",Family Group in Close Association,,,"3 Juv, 1 adult. All in fairly close contact but fledglings seem semi-independent.",,34.4239,-119.79788,25,16,,S30909427,-13335838.999713695,4085864.459117024
3876,California Towhee,CALT,Melozone crissalis,"Santa Ynez River, Sweeney Rd",5 Aug 2016,"Holmgren, M.",Fledgling with Presumed Parent,,,1 fledgling or Juv with adult,Towhees visiting fruiting elderberry along Sweeney Rd.,34.63564,-120.40732,25,62,,S31067301,-13403681.550182745,4114475.658178526
4043,California Towhee,CALT,Melozone crissalis,"Goleta, Maria Ygnacia Ck",5 Jul 2006,"Holmgren, M.",Carrying Nesting Material,,,"pr together, one carrying nesting material , but dropped it","Slightly S of Cathedral Oaks Rd, Pt 399",34.45117,-119.80297,100,34,,Maria Ygnacio Creek 5 July 2006.pdf,-13336405.615921829,4089545.2200461337
4066,California Towhee,CALT,Melozone crissalis,"Goleta, Maria Ygnacia Ck",10 Jul 1999,"Holmgren, M.",Fledgling with Presumed Parent,,,1 juv with 2ad,between the bike bridge and Hollister,34.43719,-119.806,250,16,,Maria Ygnacio Creek survey 10 July 1999.xls,-13336742.913978932,4087658.123244671
4080,California Towhee,CALT,Melozone crissalis,"Goleta, COPR, Devereux Slough",21 May 1988,"Holmgren, M.",Agitated Behavior (clarify),,,"very agitated pair, near nest?",With Scott Neel,34.41223,-119.87769,50,5,,1988_05_21_DD_MSE.pdf,-13344723.408273904,4084289.6708641257
4247,California Towhee,CALT,Melozone crissalis,"VAFB, Sudden Ranch area, ""Top of Round Hill""",11 Apr 1996,"Whitney, K.",Feeding Fledgling,,,adult feeding young,,34.52912,-120.52027,200,33,,KLW 96-044 (not scanned),-13416255.086667845,4100073.1345744827
4255,California Towhee,CALT,Melozone crissalis,"N VAFB, Punchbowl Pond",22 Mar 1996,"Fahy, K.",Copulation,,,Copulation behavior,,34.76687,-120.51981,250,136,,"VAFB, Punchbowl KAF-16 22 March 1996.pdf",-13416203.879702082,4132244.6668631714
4352,California Towhee,CALT,Melozone crissalis,"Goleta, Old Town",14 Mar 2017,"Altstatt, J.",Carrying Nesting Material,,,gathering sticks (old bean stalks),,34.43723,-119.82878,5,6,https://goo.gl/oP795b,,-13339278.771979202,4087663.522212834
4452,California Towhee,CALT,Melozone crissalis,"San Marcos Foothills, West Mesa",23 Jul 1999,"Kelly, M.",Fledgling with Presumed Parent,,,1 fledgling presumed with parent,"NE of Via Gaitero Rd. With Holmgren, M.",34.45869,-119.76618,50,141,,San Marcos Foothills 23 July 99.pdf,-13332310.171855547,4090560.4413971254
4485,California Towhee,CALT,Melozone crissalis,"Goleta, Slough Rd nr Storke Rd",16 May 2014,"Compton, D.",Carrying Food,,,food carry,,34.4168229,-119.8704148,20,12,,observer,-13343913.536714485,4084909.425697638
4509,California Towhee,CALT,Melozone crissalis,"Santa Barbara, El Estero Wastewater Treatment Plant",10 Jun 2014,"Compton, D.",Fledgling Begging,,,begging fledgling under parental care,,34.4171377,-119.6860419,20,3,,observer,-13323389.239370406,4084951.9052957515
4519,California Towhee,CALT,Melozone crissalis,"Goleta, San Jose Ck",28 Jun 2014,"Compton, D.",Feeding Fledgling,,,adult feeding fledgling,nr Calle Abierto,34.454396,-119.8114141,30,31,,observer,-13337345.608834036,4089980.7280081366
4571,California Towhee,CALT,Melozone crissalis,"Santa Ynez River, Solvang",25 May 2013,"Compton, D.",Fledgling Begging,,,begging fledgling,,34.59063,-120.15634,30,106,,observer,-13375742.58438345,4108387.6229740353
4614,California Towhee,CALT,Melozone crissalis,"Isla Vista, West Campus Faculty Housing",4 Jun 2012,"Compton, D.",Fledgling under Parental Care,,,"begging fledgling, under parental care",,34.41325,-119.8713,20,7,,observer,-13344012.076727733,4084427.304260751
4621,California Towhee,CALT,Melozone crissalis,Isla Vista,11 Jun 2012,"Compton, D.",Fledgling Begging,,,begging fledgling,,34.41165,-119.86939,20,9,,observer,-13343799.45650032,4084211.4094851967
4652,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB, West Storke Campus",14 May 2013,"Compton, D.",Carrying Food,,,"food carry. On 28 May 2013, Compton saw begging fledgling.",,34.4207,-119.86265,20,1,,observer,-13343049.163132371,4085432.618702693
4659,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB, Harder Stadium",2 Jun 2013,"Compton, D.",Feeding Fledgling,,,adult feeding fledgling,,34.42,-119.85861,20,7,,observer,-13342599.432389567,4085338.155815181
4670,California Towhee,CALT,Melozone crissalis,"Montecito, Miramar Ave",29 Apr 2016,"Compton, D.",Nestling in Nest,vines,1.5,3 nestlings; vines growing in fence,,34.42061,-119.63068,20,11,,Observer,-13317226.380853057,4085420.473429997
4698,California Towhee,CALT,Melozone crissalis,"Santa Barbara, nr Cieneguitas x Foothill",20 Apr 2013,"Compton, D.",Fledgling under Parental Care,,,dependent fledgling,,34.45004,-119.75839,10,64,,observer,-13331442.993022265,4089392.674738262
4760,California Towhee,CALT,Melozone crissalis,"Goleta, nr Devereux Slough",26 May 2012,"Compton, D.",Fledgling Begging,,,begging fledgling,,34.4167,-119.87228,20,11,,observer,-13344121.169828713,4084892.8414252577
4761,California Towhee,CALT,Melozone crissalis,"Goleta, nr Hollister x Glen Annie Rd",14 Jun 2013,"Compton, D.",Feeding Fledgling,,,adult feeding fledgling,,34.43107,-119.87213,20,16,,observer,-13344104.471905092,4086832.111559474
4785,California Towhee,CALT,Melozone crissalis,"Goleta, Glen Annie Rd nr Hollister",6 Jul 2013,"Compton, D.",Fledgling Begging,,,begging dependent fledgling,,34.43236,-119.87155,20,15,,observer,-13344039.906600432,4087006.2168344804
4913,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB Campus Lagoon",9 May 2002,"Ball, M.",Carrying Food,,,Carrying Food,"With Hernandez, N., Rynas, E., Yang, A. Lagoon area NE.",34.41063,-119.8476,40,10,,Campus Lagoon breeding evidence 9 May 2002.pdf,-13341373.804795934,4084073.7787213894
4915,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB Campus Lagoon",9 May 2002,"Ball, M.",Copulation,,,Copulation,"With Hernandez, N., Rynas, E., Yang, A. Lagoon area NE.",34.41041,-119.8474,40,22,,Campus Lagoon breeding evidence 9 May 2002.pdf,-13341351.540897775,4084044.093874721
4964,California Towhee,CALT,Melozone crissalis,"Isla Vista, Fortuna Park",27 May 2006,"Holmgren, M.",Carrying Nesting Material,,,carrying nesting material,between E and W arms of the North Finger of Dev Slough.,34.4135,-119.86955,20,5,,COPR 27 May 2006.pdf,-13343817.267618846,4084461.0381925087
4968,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB Campus Lagoon",19 Jun 2006,"Holmgren, M.",Copulation,,,pair copulating,"With Richardson, D. In Zone IN",34.40802,-119.84761,25,17,,"Campus Lagoon Survey data for 19 June 2006, p. 7b",-13341374.917990843,4083721.6135260765
4979,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB Campus Lagoon",20 Jul 2006,"Compton, D.",Carrying Food,,,cautiously carrying food,In Z2. With Lisa Stratton,34.40871,-119.85057,15,11,,Campus Lagoon survey 20 July 2011,-13341704.423683591,4083814.713601201
4984,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB Campus Lagoon",9 Aug 2006,"Holmgren, M.",Feeding Fledgling,,,adult feeding dependent fledgling,"In Zone Z2. With Richardson, D. Could be the same record as 4979",34.40924,-119.8509,20,16,,Campus Lagoon survey 9 August 2014,-13341741.159115551,4083886.225774586
4985,California Towhee,CALT,Melozone crissalis,"Goleta, UCSB Campus Lagoon",9 Aug 2006,"Holmgren, M.",Feeding Fledgling,,,adult feeding dependent fledgling,"In Zone IS. With Richardson, D.",34.40823,-119.84905,15,13,,Campus Lagoon survey 9 August 2015,-13341535.218057584,4083749.948250256
5056,California Towhee,CALT,Melozone crissalis,"Goleta, San Jose Ck",2 May 2017,"Holmgren, M.",Fledgling Begging,,,2 full-grown begging fledglings accompanied by 2 adults.,nr N. Patterson Ave,34.4551,-119.81129,25,34,,S36487520,-13337331.794085229,4090075.769799681
5116,California Towhee,CALT,Melozone crissalis,"Cuyama Valley, Ballinger Cyn",25 May 2015,"Chavez, J.",Carrying Food,,,Carrying Food,,34.8823,-119.46334,91,899,,S23637784,-13298598.17726371,4147897.665557015
5196,California Towhee,CALT,Melozone crissalis,"Cachuma Lake, Tequepis Peninsula",24 Jun 2011,"Chavez, J.",Feeding Fledgling,,,Juvenile being fed,,34.58109,-119.95963,91,241,,,-13353844.927349504,4107097.6700012623
5197,California Towhee,CALT,Melozone crissalis,"Santa Maria, Rainbow Dr",10 Jul 2011,"Chavez, J.",Fledgling under Parental Care,,,Recently fledged juvenile with parent birds,,34.90412,-120.42096,7,97,,S8537457,-13405199.948037164,4150859.056749366
5297,California Towhee,CALT,Melozone crissalis,"Carpinteria Ck, downstream of Carpinteria Ave",16 May 2017,"Denholtz, R.",Carrying Nesting Material,,,adult carrying nesting material,,34.39247,-119.51646,1,4,,S36905486,-13304511.468614647,4081623.6922534523
5332,California Towhee,CALT,Melozone crissalis,"Isla Vista, Anisq'Oyo Park",24 Apr 2017,"Turner, T.",Feeding Fledgling,,,"A not-yet-fledged chick was on the ground, being fed by adult",,34.41226,-119.85644,15,13,,S36230011,-13342357.869094549,4084293.7188812457
5376,California Towhee,CALT,Melozone crissalis,"Burton Mesa Preserve, Nokok",20 Jun 2004,"Holmgren, M.",Feeding Fledgling,,,1 fledgling getting fed,"With Moessner, R.",34.74701,-120.47133,100,191,,Burton Mesa Preserve 20 June 2004.pdf,-13410807.110788422,4129553.741104035
5383,California Towhee,CALT,Melozone crissalis,"Santa Ynez Mtns, Camino Romaldo",24 May 2017,"Holmgren, M.",Fledgling under Parental Care,,,Full-tailed fledgling feeding on seeds with adult tending.,,34.49872,-119.81156,10,580,,,-13337361.850347746,4095966.144771405
5396,California Towhee,CALT,Melozone crissalis,Alisal Rd,25 May 2017,"Holmgren, M.",Carrying Food,,,"Adult carrying food, waiting with it","With Hodgson, J.",34.54005,-120.15443,10,247,,,-13375529.964156035,4101550.1259053457
5414,California Towhee,CALT,Melozone crissalis,"Cuyama Valley, Ballinger Cyn",25 May 2017,"Compton, D.",Fledgling with Presumed Parent,,,"recent fledgling based on streaky smudges on underparts, shortish tail, and begging call associated with younger fledglings. Not in close association with a parent, but an individual was calling nearby.",Ballinger Campground,34.884433,-119.44553,20,949,,S37161843,-13296615.577132683,4148187.1197578018
5667,California Towhee,CALT,Melozone crissalis,"Goleta, nr S Patterson Ave",18 Jun 2017,"Compton, D.",Feeding Fledgling,,,"recent fledgling with smudgy streaks, begging from adult","office complex near agriculture, with little to no native vegetation",34.432805,-119.813277,20,11,,,-13337552.985913437,4087066.277029485
5684,California Towhee,CALT,Melozone crissalis,"Sierra Madre Mtns, Colson Cyn",21 Jun 2017,"Holmgren, M.",Fledgling under Parental Care,,,Fledgling following adult,0540hrs,34.93466,-120.16244,15,430,,S37733048,-13376421.63327729,4155005.240436575
5695,California Towhee,CALT,Melozone crissalis,"Sierra Madre Mtns, Colson Cyn",21 Jun 2017,"Holmgren, M.",Carrying Food,,,adult with food wad,0829hrs,34.93948,-120.17892,100,535,,S37752169,-13378256.178485561,4155659.7562149805
5722,California Towhee,CALT,Melozone crissalis,"Santa Ynez Valley, Casey Rd",24 Jun 2017,"Holmgren, M.",Juvenile Independent,,,1 fledgling but I saw no interactions with parents.,,34.6428,-120.06281,15,227,,S37778765,-13365330.872409554,4115444.4214722198
5725,California Towhee,CALT,Melozone crissalis,"Los Olivos, Ballard Canyon Rd",24 Jun 2017,"Compton, D.",Feeding Fledgling,,,fledgling begging following adult in oak and in orchard; feeding observed,,34.66165,-120.12709,20,270,,observer,-13372486.489277747,4117995.2668249905
5752,California Towhee,CALT,Melozone crissalis,"Santa Ynez Mtns, Los Laureles Cyn",28 Jun 2017,"Holmgren, M.",Feeding Fledgling,,,Adult feeding fledgling,None,34.51616,-119.80784,10,778,,S37853917,-13336947.741841994,4098322.0767321284
