Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
4431,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, West Mesa",26 May 1999,"Holmgren, M.",Egg in Nest,,,nest with 8 predated eggs,"With Kelly, M. breeding evidence. Along rim overlooking canyon just NE Via Gaitero gate.",34.45827,-119.76564,40,131,,San Marcos Foothills 26 May 99.pdf,-13332250.05933052,4090503.737794056
4450,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, Atascadero Ck",13 Jul 1999,"Holmgren, M.",Fledgling under Parental Care,,,2 baby-baseball-sized fledglings,,34.46095,-119.76108,200,110,,San Marcos Foothills 13 July 99.pdf,-13331742.4424525,4090865.565682063
4567,California Quail,CAQU,Callipepla californica,"Santa Ynez River, Solvang",22 Jun 2013,"Compton, D.",Fledgling under Parental Care,,,2 adult w/12 juveniles,,34.59181,-120.15778,40,105,,observer,-13375902.884450192,4108547.1871981565
4863,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, West Mesa",22 Jul 2001,"Holmgren, M.",Family Group in Close Association,,,family,,34.45687,-119.76025,100,103,,San Marcos Foothills 22 July 2001.pdf,-13331650.04727514,4090314.7278437763
4912,California Quail,CAQU,Callipepla californica,"Goleta, COPR, Dunes",24 Aug 2008,"Sandoval, C.",Fledgling under Parental Care,,,2 adult and 10 very small fledgling,first breeding MAH is aware of in Goleta south of Hwy 101 in about 15 years,34.41169,-119.87869,125,3,,Today 2008 second half 28 Nov.doc,-13344834.727764698,4084216.80680425
5384,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, Camino Romaldo",24 May 2017,"Schwartzkopf, P.",Fledgling under Parental Care,,,About 7 chicks between golf ball and tennis ball sized with adults,,34.49951,-119.81348,25,583,,,-13337575.583770066,4096072.8535077353
5500,California Quail,CAQU,Callipepla californica,"Goleta, COPR",6 Jun 2016,"Stapelmann, C.",Fledgling with Presumed Parent,,,First year bird with immature plumage near an adult. Hiding in shrub.,,34.41259,-119.88193,50,4,,S23800655,-13345195.402914867,4084338.247165391
5569,California Quail,CAQU,Callipepla californica,"Santa Ynez River, Refugio Rd",6 Jun 2017,"O'Loghlen, A.",Fledgling under Parental Care,,,Chick with both parents,"Hackamach, G. present",34.58496,-120.10034,5,127,https://goo.gl/g34500,,-13369508.692899026,4107620.9349589185
5642,California Quail,CAQU,Callipepla californica,"Cachuma Lake, south shore",13 Jun 2017,"Holmgren, M.",Family Group in Close Association,,,"1 Female, 2 males, at least 10nearly full-grown chicks",,34.56946,-119.93942,200,231,,S37578983,-13351595.160440572,4105525.3175234734
5682,California Quail,CAQU,Callipepla californica,"Sierra Madre Mtns, Colson Cyn",21 Jun 2017,"Holmgren, M.",Fledgling under Parental Care,,,fam of half-grown fledgling at camp,0540hrs,34.93401,-120.16389,15,648,,S37733048,-13376583.046538938,4154916.978803786
5691,California Quail,CAQU,Callipepla californica,"Sierra Madre Mtns, Colson Cyn",21 Jun 2017,"Holmgren, M.",Fledgling under Parental Care,,,6 fledglings on the small side with adult,0829hrs,34.9406,-120.17711,100,536,,S37752169,-13378054.690207224,4155811.8483764715
5704,California Quail,CAQU,Callipepla californica,"Sierra Madre Mtns, Colson Cyn",21 Jun 2017,"Holmgren, M.",Fledgling out of Nest--Brancher,,,adult male with several tiny fledglings with stripes on back,,34.9391,-120.19094,10,462,,not eBirded,-13379594.238764897,4155608.1539892494
5813,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, Stagecoach Rd",2 Jul 2017,"Holmgren, M.",Fledgling under Parental Care,,,"6 small, but able to fly, fledglings with parents",,34.53519,-119.84695,35,346,,,-13341301.447126918,4100893.361080472
5831,California Quail,CAQU,Callipepla californica,"Montecito, Pimiento Lane",15 May 2017,"Lentz, J.",Fledgling under Parental Care,,,adults and 8 tiny quailets,,34.434,-119.63535,10,49,https://goo.gl/kMxiEF,,-13317746.24287506,4087227.563854713
5951,California Quail,CAQU,Callipepla californica,"Alisal Rd, Alisal Guest Ranch",21 Jul 2017,"O'Loghlen, A.",Fledgling under Parental Care,,0,At least 8 chicks accompanied by adult male and female,"Hackamack, G. present",34.55253,-120.14024,5,154,https://goo.gl/DrPXJB,,-13373950.340581678,4103236.8087956114
6005,California Quail,CAQU,Callipepla californica,Hollister Ranch,8 Jun 1984,"Lehman, P.",Fledgling with Presumed Parent,,,"""lots of young""",Lehman file ref 150,34.46667,-120.31589,5000,10,,"BOSB, 1994",-13393503.609139515,4091637.864056701
6099,California Quail,CAQU,Callipepla californica,"Cuyama Valley, Deer Park Cyn",4 Aug 2017,"Holmgren, M.",Fledgling under Parental Care,,,12 half-grown chicks under parental care,,34.86481,-119.47552,10,896,,S38496463,-13299954.048661571,4145524.5058036787
6174,California Quail,CAQU,Callipepla californica,"Casmalia, Lompoc-Casmalia Rd near Shuman Ck",21 Aug 2017,"Chavez, J.",Family Group in Close Association,,,Young birds in a large covey,,34.83584,-120.52851,15,104,,,-13417172.35927198,4141594.7731603943
6250,California Quail,CAQU,Callipepla californica,Orcutt,27 Jul 2017,"Kisner, D.",Fledgling under Parental Care,,,Adult with 7+ 1/2 grown young,,34.8633,-120.41045,5,161,,,-13404029.980188927,4145319.6426126095
6352,California Quail,CAQU,Callipepla californica,"Goleta, COPR",5 Sep 2007,"Lewis, A.",Fledgling under Parental Care,,,female with 8 chicks,,34.40852,-119.87752,30,7,https://flic.kr/p/34iBPv,,-13344704.48396047,4083789.0772720147
6464,California Quail,CAQU,Callipepla californica,"Goleta, Forte Ranch",10 Sep 2017,"Levasheff, D.",Fledgling under Parental Care,,,two adults show up with three fledglings.,The nest had to have been not too far away as these were very young birds.,34.44634,-119.7844,2,42,https://goo.gl/SeV84a,ID282,-13334338.412977798,4088893.2045435593
6465,California Quail,CAQU,Callipepla californica,"Goleta, Forte Ranch",19 Jun 2017,"Levasheff, D.",Fledgling under Parental Care,Rosemary cover,0,"Chicks so small they could not navigate up the curb. On 19 June 2017, the whole brood of twelve crossed street in front of our house on Gate Way.","I fear they did not survive the neighbors cats. Next door neighbor noted how cute they were, she said there was a nest near her front door, but her dogs ate them.",34.44609,-119.78451,5,44,https://goo.gl/v3sqkQ,ID283,-13334350.658121785,4088859.457355369
6572,California Quail,CAQU,Callipepla californica,"Santa Cruz Island, between Centinela and Portezuela",11 Aug 2000,"Holmgren, M.",Family Group in Close Association,,,batch of chicks,,34.01066,-119.77505,1500,250,,Santa Cruz Island 11-13 August 2000.pdf,-13333297.57573888,4030233.4935175204
6764,California Quail,CAQU,Callipepla californica,"Santa Barbara, Conejo Rd",31 May 2018,"Airame, S.",Fledgling under Parental Care,,,"2 adults with 7 chicks, slightly larger than silver dollar sized chicks",,34.44344,-119.68159,1,215,,ID465,-13322893.656129343,4088501.7433696818
6851,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Tequepis Cyn",11 Jun 2018,"Pearlman, K.",Fledgling with Presumed Parent,,,"Adult male on road with covey of 6-8 fairly young chicks (under 6"")","Larson Meadow. Photo of adult male only. Chicks were hidden from view until male flushed and flew across road and up slope, out of sight.",34.56313,-119.9514,10,285,,ID506,-13352928.767940275,4104669.6067527574
6962,California Quail,CAQU,Callipepla californica,"Goleta, Forte Ranch",23 Jun 2018,"Levasheff, D.",Fledgling with Presumed Parent,,,Two young with 4 adults visiting our feeder area. Birds are old enough to fly up on a 4 foot high wall.,"Also observed by Levasheff, J.",34.44638,-119.78441,1,42,https://goo.gl/tqmEMM,ID557,-13334339.526172705,4088898.604103042
7003,California Quail,CAQU,Callipepla californica,Nojoqui Summit,30 Jun 2018,"Holmgren, M.",Fledgling under Parental Care,,,"With adults, a batch of babies the size of oranges well hidden along the side of the road.",Old Coast Highway,34.52862,-120.19335,5,269,,ID606,-13379862.518737707,4100005.5732772583
7012,California Quail,CAQU,Callipepla californica,"Cuyama Valley, Santa Barbara Cyn",9 Jun 2018,"Turner, T.",Family Group in Close Association,,,Covey with young.,,34.82526,-119.55096,10,893,,S46429615,-13308351.991047017,4140159.9584041666
7015,California Quail,CAQU,Callipepla californica,"Cuyama Valley, Deer Park Cyn",8 Jun 2018,"Turner, T.",Family Group in Close Association,,,Covey with young.,,34.85963,-119.46397,10,949,,S46430323,-13298668.30854291,4144821.7457680507
7022,California Quail,CAQU,Callipepla californica,"Cachuma Lake, Jackrabbit Flat",2 Jul 2008,"Holmgren, M.",Fledgling under Parental Care,,,At least 17 babies slightly larger than half size with approx. 4 adults.,,34.57289,-119.94357,25,229,,,-13352057.136327362,4105989.0237162258
7025,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Sedgwick Reserve",2 Jul 2008,"Holmgren, M.",Fledgling under Parental Care,,,group of 13 slightly larger than 1/2 grown along entrance rd,,34.68874,-120.04073,15,326,,,-13362872.938052839,4121662.1931188228
7061,California Quail,CAQU,Callipepla californica,"Santa Ynez River, Sage Hill Campground",28 Jul 2011,"Hess, L.",Fledgling under Parental Care,,,Male and female with six young.,,34.5456,-119.79236,20,287,,ID635,-13335224.516124513,4102300.1820182796
7077,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Rancho de la Vina",9 Jul 2018,"Holmgren, M.",Fledgling under Parental Care,,,Adults with softball-sized chicks.,Could not get a count of family unit.,34.60459,-120.34803,,74,,,-13397081.41757361,4110275.494100061
7120,California Quail,CAQU,Callipepla californica,"Gaviota Coast, Hollister Ranch",18 Jul 2018,"Gevirtz, E.",Family Group in Close Association,,,2 adults and 8 juveniles in road and on edge of coastal sage scrub,,34.47084,-120.23354,1,33,,ID677,-13384336.44907269,4092200.9191292333
7121,California Quail,CAQU,Callipepla californica,"Gaviota Coast, Hollister Ranch",18 Jul 2018,"Gevirtz, E.",Family Group in Close Association,,,1 adult with 8 juveniles at edge of road and coastal sage scrub,,34.46859,-120.31661,1,22,,ID678,-13393583.759172887,4091897.10894103
7143,California Quail,CAQU,Callipepla californica,"N VAFB, Building 3000 Complex",26 Jul 2018,"Chavez, J.",Fledgling under Parental Care,,,Several juvenile birds in covey with adults,,34.71248,-120.56767,15,119,,,-13421531.630531447,4124876.6471548695
7157,California Quail,CAQU,Callipepla californica,"Ellwood, Sandpiper Golf Course",29 Jul 2018,"Holmgren, M.",Fledgling under Parental Care,,,Fledgling tended by 4 adults trying desperately to cross road,Very close to coast for this species near the urban boundary. S47534457,34.43126,-119.90811,5,33,https://goo.gl/n7Jr2K,ID691,-13348109.747183835,4086857.754803326
8001,California Quail,CAQU,Callipepla californica,"San Marcos Foothills, East",13 May 2019,"Mulroy, M.",Egg in Nest,ground,0,"Flushed two adult from nest on ground with 9 eggs in it, concealed under a dead shrub and dead grass thatch.",,34.4603,-119.75459,5,120,,ID1039,-13331019.978957249,4090777.8078513206
8259,California Quail,CAQU,Callipepla californica,"Cuyama Valley, Aliso Cyn Rd",5 Jun 2019,"Courtney, S.",Fledgling under Parental Care,,0,Day-old chicks (c.8) with parent,,34.91378,-119.76209,10,1405,,ID1271,-13331854.8751382,4152170.354721358
8260,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Sedgwick Reserve",5 Jun 2019,"Schneekloth, P.",Fledgling under Parental Care,,,"Covey of approx. 15 young, smaller than ""sparrow size"", running across the road in the company of 4-5 adult birds.",Lisque Canyon Rd,34.68933,-120.04253,10,327,,ID1272,-13363073.313136265,4121742.069387807
8265,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, San Jose Ck",27 May 2019,"Stapelmann, C.",Fledgling under Parental Care,,,Covey seen. There were also multiple singing males in the area.,Private property bordering Los Padres NF on the western slope above San Jose Creek. Habitat is chaparral.,34.48637,-119.80588,50,356,,ID1277,-13336729.555640038,4094298.10798667
8273,California Quail,CAQU,Callipepla californica,"Sisquoc, Long Canyon Rd",4 Jun 2019,"Deacon, J.",Fledgling under Parental Care,,,2 adults and 8 chicks probably only a few days old crossed the road near the referenced pond.,Pond near road midpoint.,34.82045,-120.26358,20,268,,ID1286,-13387680.48657612,4139507.7075395146
8315,California Quail,CAQU,Callipepla californica,"Cuyama Valley, Aliso Cyn Rd",5 Jun 2019,"Courtney, S.",Fledgling under Parental Care,,,Day-old chicks (c.8) with parent,,34.91378,-119.76209,10,1405,,ID1271,-13331854.8751382,4152170.354721358
8329,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Sedgwick Reserve",12 Jun 2019,"Schneekloth, P.",Fledgling under Parental Care,,,A covey included 12-15 very small Quail accompanied by 2 or more adults,"With Tingos, Baldwin, Matthews, Machetanz, Emerson, Erickson. eBird S57322758",34.7251,-120.0349,10,410,,ID1344,-13362223.945421513,4126585.8016013033
8361,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Sedgwick Reserve",19 Jun 2019,"Tingos, G.",Fledgling under Parental Care,,,Adult male and female with 13 young. Adults flew from heavy chaparral cover to a more open hillside and gave gathering call (chi-ca-go). Young flew from heavy cover to join adults.,"On Figueroa Ck drainage. With L. Baldwin, F. Emerson, F. Machetanz, P. Schneekloth, T. Matthews, M. Erickson, and B. Juarez. eBird S57516255",34.7258,-120.03426,10,418,,ID1377,-13362152.700947408,4126680.6117825396
8364,California Quail,CAQU,Callipepla californica,"Santa Ynez Valley, Sedgwick Reserve",19 Jun 2019,"McCurdy, K.",Fledgling under Parental Care,,,This evening I saw four coveys of approximately 8 chicks each foraging along the road between the coyote bushes and farm fence. Chicks in two of the coveys look to be days old; chicks in the other two covey look to be about a week old.,"Entrance Road, Farm/Lisque Corner",34.68857,-120.04111,5,327,,ID1383,-13362915.23945934,4121639.178028324
8446,California Quail,CAQU,Callipepla californica,"Cachuma Lake, Clark Cyn",30 Jun 2019,"Loft, K.",Fledgling under Parental Care,,,Adults with 7 large orange sized fledglings,,34.59114,-119.98014,3,231,,ID1454,-13356128.090105675,4108456.5868945224
8484,California Quail,CAQU,Callipepla californica,"Santa Ynez Mtns, Camino Romaldo",2 Jul 2019,"Holmgren, M.",Fledgling under Parental Care,,,adults with 13 very fresh fledglings scattering along the road.,,34.50262,-119.81927,20,633,,,-13338220.123621762,4096492.944561874
8503,California Quail,CAQU,Callipepla californica,"Santa Barbara, 4684 Gate Way",3 Jul 2019,"Levasheff, D.",Fledgling with Presumed Parent,,,Two young with adults under feeder.Â ,,34.44634,-119.7844,2,1,https://tinyurl.com/y2jb4mzd,ID1501,-13334338.412977798,4088893.2045435593
8517,California Quail,CAQU,Callipepla californica,"Goleta, Devereux Campus",5 Jul 2019,"Levasheff, D.",Fledgling under Parental Care,,,Adult bird along with several very new chicks in the long grass between the northern wing of the building and the west-east walkway. Seen also on 6 July by Ben Byerly.,"COPR Nature Center. Cris believes the nest was in the tall grasses. Also seen by Levasheff, J., Pollock, D., Sandoval, C.",34.41129,-119.8767,2,7,https://tinyurl.com/y3x5bkuk,ID1519,-13344613.201978019,4084162.833729853
8528,California Quail,CAQU,Callipepla californica,"Santa Ynez River, Buellton",6 Jul 2019,"Schneekloth, P.",Fledgling under Parental Care,,,A covey of approximately 5 adult and 15 young birds,"River View Park, Botanic Garden. eBird S57977831",34.61711,-120.21067,10,97,,ID1531,-13381790.572318248,4111968.897772602
8561,California Quail,CAQU,Callipepla californica,"San Rafael Mtns, Manzana Ck",10 Jul 2019,"Haupt, D.",Fledgling under Parental Care,,,Vocally active family group. Adult(s) and 5-8 month-old fledglings,,34.77845,-119.95561,10,515,,ID1568,-13353397.422996514,4133813.9949053493
8581,California Quail,CAQU,Callipepla californica,"Sierra Madre Mtns, Aliso Park Campground",13 Jul 2019,"Haupt, D.",Fledgling under Parental Care,,,"Cantaloupe-sized fledglings, all 51 in a creche.",,34.91102,-119.76532,15,850,https://tinyurl.com/y29pulu4,ID1589,-13332214.437093463,4151795.6824144186
8588,California Quail,CAQU,Callipepla californica,"Goleta, COPR",13 Jul 2019,"O'Loghlen, A.",Fledgling under Parental Care,,,Two adult males and a female with 7 chicks.,"Nature Center. These chicks are clearly younger than the birds reported in this area in Rec# 8517 (5 Jul). Pearlman, K and Chen, J. present.",34.41089,-119.8769,3,7,https://tinyurl.com/y3ujf63d,ID1597,-13344635.465876177,4084108.860913566
8629,California Quail,CAQU,Callipepla californica,"Sierra Madre Mtns, Bates Cyn Rd",12 Jul 2019,"Courtney, S.",Fledgling under Parental Care,,,10 or so orange-sized or grapefruit-sized fledglings with adults.,,34.93744,-119.91448,15,1041,,,-13348818.852340188,4155382.7365435143
8631,California Quail,CAQU,Callipepla californica,"Sierra Madre Mtns, Bates Cyn Rd",12 Jul 2019,"Courtney, S.",Fledgling under Parental Care,,,13 chicks naval-orange sized,,34.96367,-119.90703,15,821,,,-13347989.522133779,4158945.1375288498
8632,California Quail,CAQU,Callipepla californica,"Sierra Madre Mtns, Sierra Madre Rd",12 Jul 2019,"Holmgren, M.",Fledgling with Presumed Parent,,,Half-grown chicks with adults,,34.91447,-119.90594,15,1608,,,-13347868.183888813,4152264.024766366
8641,California Quail,CAQU,Callipepla californica,"Goleta, Devereux Campus",6 Jul 2019,"Byerly, B.",Fledgling under Parental Care,,,At least 9 chicks and 3 adults,eBIrd checklist,34.41101,-119.87704,5,7,,ID1525,-13344651.050604887,4084125.052731349
8644,California Quail,CAQU,Callipepla californica,"Alisal Rd, Alisal Guest Ranch",23 Jul 2019,"O'Loghlen, A.",Fledgling under Parental Care,,,Four adults with at least 15 very young chicks.,"Pearlman, K. present.",34.5559,-120.14169,2,150,https://tinyurl.com/y4zhl5bd,ID1628,-13374111.753843326,4103692.3106153645
