Record Number,Common Name,Code,Scientific (Latin) Name,Locality,Observation Date,Observer,Breeding Evidence,Nest Structure or Substrate,Nest Height (meters),Observation Details,Comments,Latitude,Longitude,Location Certainty (meters),Elevation (meters),Photo Link,Sources,x,y
1246,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr DeWolfe",9 Jul 2006,"Compton, D.",Juvenile Independent,,,"Juvenile feeding self, but accompanied by at least 1 adult",,34.68075,-120.5264283,10,9,,Observer,-13416940.625487996,4120580.5349514615
1259,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Union Sugar",15 Jul 2006,"Compton, D.",Juvenile Independent,,,"Independent juvenile, with no black cap",,34.6800937,-120.5336285,10,11,,Observer,-13417742.14808561,4120491.6919990275
1467,Wilson's Warbler,WIWA,Cardellina pusilla,"Burton Mesa Preserve, Davis Creek",20 May 2007,"Compton, D.",Feeding Fledgling,,,,"With Holmgren, M. [Ask DC how we ended up with 3 breeding records instead of 1?]",34.69294,-120.45745,10,50,,observer,-13409261.996256212,4122230.8162465002
1468,Wilson's Warbler,WIWA,Cardellina pusilla,"Burton Mesa Preserve, Davis Creek",20 May 2007,"Compton, D.",Feeding Fledgling,,,Adult feeding juv with olive cap and fuzzy gray sides to breast,"With Holmgren, M. [Ask DC how we ended up with 3 breeding records instead of 1?]",34.69037,-120.45825,20,48,,observer,-13409351.051848847,4121882.8696210883
1469,Wilson's Warbler,WIWA,Cardellina pusilla,"Burton Mesa Preserve, Davis Creek",20 May 2007,"Compton, D.",Feeding Fledgling,,,Adult feeding juv,"With Holmgren, M. [Ask DC how we ended up with 3 breeding records instead of 1?]",34.69295,-120.45746,10,50,,observer,-13409263.109451119,4122232.170145523
1562,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr DeWolfe",28 May 2007,"Compton, D.",Feeding Fledgling,,,Adult feeding begging juv,,34.6803894,-120.5211027,10,11,,"MSE field notes, Vandenberg 2007",-13416347.782407828,4120531.720650305
1620,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Ynez River, Miguelito Channel at RR tracks",5 Jun 2007,"Compton, D.",Fledgling Begging,,,Begging juv fed by adult,,34.6860552,-120.5850515,10,4,,"MSE field notes, Vandenberg 2007",-13423466.53026067,4121298.7226692224
1622,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",5 Jun 2007,"Compton, D.",Fledgling Begging,,,Begging juv fed by adult,,34.6812116,-120.5654504,7,8,,"MSE field notes, Vandenberg 2007",-13421284.545789681,4120643.021898997
1801,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Waterfowl Natural Resources Area",25 Jun 2007,"Compton, D.",Fledgling Begging,,,Begging fledgling under parental care,,34.6792676,-120.5633575,75,7,,"MSE field notes, Vandenberg 2007",-13421051.565227399,4120379.8643195005
1889,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Wildlife Management Ponds",12 Jul 2007,"Compton, D.",Feeding Fledgling,,,adult with 2 begging fledglings; feeding observed,,34.68017,-120.56609,8,7,,"MSE field notes, Vandenberg 2007",-13421355.745735994,4120502.020649842
1902,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr Union Sugar",16 Jul 2007,"Compton, D.",Feeding Fledgling,,,Adult feeding 1 of 2 begging fledglings,,34.6807,-120.54041,5,11,,"MSE field notes, Vandenberg 2007",-13418497.06121242,4120573.7664555227
2124,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck nr El Rancho Rd",6 May 2008,"Holmgren, M.",Adult at Nest (clarify),,,"several agitated adults at empty nest; something flushed from nest, possible force-fledge","With Compton, D.",34.7735285,-120.5732944,10,15,,VAFB San Antonio Creek and SYR 6 May 2008.pdf,-13422157.735875463,4133147.0035791085
2153,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough South",15 May 2008,"Holmgren, M.",Carrying Food,,,"adult carrying food toward 'chipping' sound of 2 fledglings, but young and food delivery not seen",,34.77135,-120.47784,100,83,,Barka Slough South 15 May 2008.pdf,-13411531.800673485,4132851.7728378763
2229,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough North",26 May 2008,"Compton, D.",Fledgling Begging,,,"2 brownish, begging fledglings under parental care",SA 86,34.7776245,-120.554098,30,27,,Barka North 26 May 2008.pdf,-13420020.8024024,4133702.1153957453
2230,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough North",26 May 2008,"Compton, D.",Fledgling Begging,,,mature begging fledgling under parental care,"SA 91, 30 m E",34.76995,-120.45329,20,86,,Barka North 26 May 2008.pdf,-13408798.90717451,4132662.048680685
2253,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck nr El Rancho Rd",30 May 2008,"Holmgren, M.",Fledgling Begging,,,adult tending flying and calling fledgling,SA 45,34.7746472,-120.5647617,30,17,,Upstream to lower SA Ck 30 May 08.pdf,-13421207.880056374,4133298.613048261
2305,Wilson's Warbler,WIWA,Cardellina pusilla,"VAFB, Santa Ynez River nr 13th St",8 Jun 2008,"Holmgren, M.",Fledgling under Parental Care,,,fledgling with full tail under parental care,Pt. 102,34.68103,-120.5418524,30,11,,Lower SYR 8 June 08.pdf,-13418657.62844594,4120618.4386042426
2341,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Creek",14 Jun 2008,"Compton, D.",Fledgling Begging,,,2 begging fledglings under parental care," between El Rancho and Lompoc-Casmalia Rds, SA 45, 15m SW",34.7745946,-120.5648397,10,17,,Upstream of Lower San Antonio pts 36 to 46 14  June 08.pdf,-13421216.562976653,4133291.4844976286
2342,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck nr Hwy 1",14 Jun 2008,"Holmgren, M.",Juvenile Independent,,,independent juv,SA 71,34.77797,-120.5034593,30,56,,Incised SA Ck 61-72 14 June 08.pdf,-13414383.728103967,4133748.9406630094
2817,Wilson's Warbler,WIWA,Cardellina pusilla,"Carpinteria, Rincon Ck (Ventura County)",22 May 2010,"Compton, D.",Fledgling Begging,,,begging fledgling under parental care,,34.379115,-119.4749093,20,18,,observer,-13299886.065848544,4079822.219510408
3069,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Ynez River, Buellton",26 Jun 2011,"Compton, D.",Fledgling Begging,,,begging fledgling under parental care,,34.6139944,-120.212203,15,90,,observer,-13381961.225097634,4111547.4706703355
3400,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Ynez River, near Union Sugar Ave.",30 Jun 1999,"Holmgren, M.",Feeding Fledgling,,,cowbird fledgling fed 4 or 5 times by Wilson's Warbler in canopy of river bottom near Union Sugar.,,34.67975,-120.53176,100,11,,VAFB Field Notes,-13417534.147617059,4120445.1658092127
4014,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough South",15 May 2005,"Holmgren, M.",Fledgling Begging,,,2 fledglings begging,Point 80,34.76482,-120.4648,50,86,,VAFB Barka Slough South 15 May 2005.pdf,-13410080.194513543,4131966.8726630714
4015,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough South",15 May 2005,"Holmgren, M.",Feeding Fledgling,,,adult carrying food to begging fledgling,Point 79,34.76606,-120.46702,50,87,,VAFB Barka Slough South 15 May 2005.pdf,-13410327.323783103,4132134.9034523345
4157,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Santa Ynez River",18 May 2005,"Holmgren, M.",Juvenile Independent,,,"semi-independent juvenile with adults nearby, basic pl. cap already","""upper SYR"".point 111",34.67986,-120.51823,20,12,,VAFB May 2005 PC Holmgren front pp only.pdf,-13416027.994906627,4120460.056334838
4179,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Upstream to Lower San Antonio Creek",31 May 2005,"Holmgren, M.",Egg in Nest,,,"3 egg minimum, no determination of what species was incubating",140 m W of point 46,34.77456,-120.56062,20,18,https://goo.gl/Y7YH8J,VAFB May 2005 PC Holmgren front pp only.pdf,-13420746.828121353,4133286.7953774473
4180,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, Upstream to Lower San Antonio Creek",31 May 2005,"Holmgren, M.",Feeding Fledgling,,,adult feeding fledgling,point 46,34.7744,-120.5621,20,18,,VAFB May 2005 PC Holmgren front pp only.pdf,-13420911.58096773,4133265.111610267
4289,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Ynez River, Miguelito Channel at RR tracks",17 May 1996,"Thomson, Y.",Family Group in Close Association,,,family group seen,,34.68598,-120.58612,100,4,,VAFB SA Ck SYRE 17 May 1996.pdf,-13423585.475136582,4121288.5422005896
4899,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Creek",7 Jun 2003,"Holmgren, M.",Egg in Nest,Blackberry,,"Nest found, 4 eggs",116m E pt SA 45,34.77505,-120.5635,15,18,https://goo.gl/zFGI9u,7 June 03 photos.doc,-13421067.428254839,4133353.2021759897
5143,Wilson's Warbler,WIWA,Cardellina pusilla,"N VAFB, San Antonio Ck, Barka Slough",14 Jun 2013,"Chavez, J.",Fledgling under Parental Care,,,Fledglings under parental care,,34.77401,-120.48024,30,80,,,-13411798.96745139,4133212.2576039094
5518,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Ynez River, Miguelito Channel at RR tracks",18 Jul 1992,"Holmgren, M.",Fledgling under Parental Care,,,adult with juvenile,,34.685384,-120.58608,14,4,,SYR Floradale and estuary 18 July 1992.pdf,-13423581.02235695,4121207.8568986002
5563,Wilson's Warbler,WIWA,Cardellina pusilla,"Goleta, Atascadero Ck",6 Jun 2017,"Holmgren, M.",Fledgling under Parental Care,,,"Group of 2 or 3 individuals, one was a fledgling chasing adult.",776m W of Patterson Ave bridge,34.42335,-119.81875,25,4,,S37433734,-13338162.237486547,4085790.235369535
5906,Wilson's Warbler,WIWA,Cardellina pusilla,"Gaviota Coast, Arroyo Quemado",25 Jul 2011,"Holmgren, M.",Male Singing on Territory,,,adult singing,That the bird was singing is what makes this significant.,34.47497,-120.11858,15,15,,Baron Ranch trail 25 July 2011.pdf,-13371539.160411093,4092758.600924625
5940,Wilson's Warbler,WIWA,Cardellina pusilla,"Gaviota Coast, Refugio Rd",11 Jun 2017,"Turner, T.",Male Singing on Territory,,,"Heard singing males, two I think. No birds seen. I didn't hear them when I revisited on 21 July 2017.",1 km N Hwy 101. Presence so late might indicating breeding. [Editor: nr location where occupancy after 15 June has occurred in recent years.],34.47448,-120.06877,,26,,S37527650,-13365994.336574683,4092692.4338448155
6469,Wilson's Warbler,WIWA,Cardellina pusilla,"Goleta, San Jose Ck",10 Apr 2018,"O'Loghlen, A.",Nest Building,Nest on or very near ground,0.2,"Repeated visits to same location by pair. On occasions, could see bird was carrying nesting materials.","S of N. Patterson Ave. Pearlman, K. present. Photo shows bird departing nest site.",34.45633,-119.81073,10,29,https://goo.gl/vBtCS4,ID285,-13337269.455170387,4090241.8248527152
6515,Wilson's Warbler,WIWA,Cardellina pusilla,"Santa Barbara, Arroyo Burro Ck",19 Apr 2018,"O'Loghlen, A.",Carrying Nesting Material,,,Female gathering nesting material from ground cover vegetation on the west side of creek. Female flew to a nearby location on the east side of the creek. Precise location of where she flew to not determined. Male also seen associating with the female in this area.,"Hidden Valley Park. Pearlman, K. present",34.42494,-119.75048,15,34,https://goo.gl/vRokHo,ID304,-13330562.45585009,4086004.8108105394
7702,Wilson's Warbler,WIWA,Cardellina pusilla,"Goleta, San Jose Ck",29 Mar 2019,"O'Loghlen, A.",Carrying Nesting Material,Nest on or near ground,0,Male and female carrying nesting material making repeated visits to low vegetation.,"S of N. Patterson Ave. Pearlman, K. present.",34.45633,-119.81073,5,29,https://tinyurl.com/y5gzwuhr,ID765,-13337269.455170387,4090241.8248527152
8465,Wilson's Warbler,WIWA,Cardellina pusilla,"Goleta, Tecolote Ck",30 Jun 2019,"Holmgren, M.",Male Singing on territory,,,persistent singing,At stand of tall feral-looking walnuts and tributary from W. This is one of 8 singing Wilson's Warblers seen along this creek this morning. All of them seemed territorial. eBird S57820139 shows map of all.,34.45674,-119.91743,15,46,,ID1473,-13349147.244838025,4090297.177080617
8486,Wilson's Warbler,WIWA,Cardellina pusilla,"Burton Mesa Preserve, Davis Creek",3 Jul 2019,"Holmgren, M.",Male Singing on territory,,,Pair quite persistently territorial,eBird S57893402,34.70339,-120.45817,15,76,,,-13409342.146289583,4123645.729969041
9878,Wilson's Warbler,WIWA,Cardellina pusilla,"Goleta, Atascadero Ck",23 May 2020,"Compton, D.",Fledgling Begging,,,Begging fledgling with wing bar and no black cap.,,34.42329,-119.81602,20,4.2,,ID2793,-13337858.33527668,4085782.1382629857
